arg-id,x,y,probability,cluster-id
A122_1,8.879543,1.8486073,1.0,4
A124_0,7.924398,1.8673043,1.0,2
A125_0,8.271799,1.5703307,1.0,2
A125_1,7.580396,2.834172,1.0,29
A126_0,10.204995,1.5809003,1.0,6
A126_1,8.433849,4.006145,1.0,8
A126_2,5.472498,0.104072325,1.0,20
A126_3,4.8685904,1.6540182,1.0,18
A130_0,9.116002,1.5182585,1.0,23
A130_1,3.8401463,2.609478,1.0,3
A130_2,8.212773,1.4469635,1.0,2
A132_0,10.504427,1.3218677,1.0,6
A132_1,10.434689,1.3482234,1.0,6
A132_2,8.714469,0.15641683,0.9339042208607914,23
A132_3,8.937992,0.2191856,0.9021197105584344,23
A132_4,8.544857,0.2185504,1.0,23
A132_5,8.6741085,0.13443656,0.9502431889742058,23
A133_0,5.4613504,5.483884,1.0,14
A133_1,6.802862,5.8276606,1.0,0
A133_2,6.600086,5.8742433,1.0,0
A133_3,4.278154,1.7488369,1.0,18
A133_4,8.977546,1.1235285,1.0,23
A134_0,5.382872,0.57182974,1.0,20
A134_1,5.08623,0.3409377,1.0,20
A134_2,6.1538,0.28912103,1.0,10
A134_3,5.6305084,1.2472322,1.0,5
A135_0,7.812539,0.85297406,0.897658471335663,2
A135_1,7.5063868,1.9329368,1.0,2
A135_2,7.928499,0.6769159,1.0,2
A135_3,7.962313,0.37713546,1.0,2
A136_0,9.412012,2.1943963,1.0,4
A136_1,9.7192135,1.6924958,1.0,6
A136_2,7.835073,2.5325668,1.0,4
A137_0,8.441597,0.49544662,1.0,23
A137_1,5.736662,1.5541928,1.0,5
A137_2,5.583649,1.5600146,1.0,5
A137_3,3.9390235,2.709256,1.0,3
A138_0,7.121562,1.9249078,1.0,2
A138_1,6.5311217,5.394371,1.0,7
A138_2,6.268141,4.291326,1.0,7
A138_3,7.086068,1.5875778,1.0,2
A138_4,7.836736,1.3141248,1.0,2
A139_0,2.6632984,3.9249048,0.8423773532779566,12
A139_1,8.378904,1.5066755,1.0,2
A139_2,7.946775,1.2842369,1.0,2
A139_3,2.6288185,3.9652288,0.9386774820014708,12
A139_4,8.037613,2.133125,1.0,4
A139_5,3.9778357,2.1494923,0.0,18
A139_6,7.4611707,2.2921286,1.0,2
A140_0,7.001736,1.6119533,1.0,2
A141_0,4.034907,2.4579103,1.0,18
A141_1,3.7924867,2.6130009,1.0,3
A141_2,3.801425,2.5908828,1.0,3
A144_0,3.8736155,2.8583183,1.0,3
A144_1,4.1338334,1.839365,1.0,18
A144_2,4.3924384,2.1364968,1.0,18
A144_3,2.4630747,4.234982,1.0,12
A145_0,12.258465,5.7520704,0.6876777751601492,19
A145_1,8.108002,0.5387662,1.0,2
A146_0,8.118173,0.512245,1.0,2
A146_1,8.069021,0.5079621,1.0,2
A146_2,8.037142,0.4495354,1.0,2
A146_3,12.247612,5.723377,0.5875655452899216,19
A146_4,8.046469,0.4542362,1.0,2
A146_5,8.044426,0.43648317,1.0,2
A147_0,3.8904822,3.3526332,1.0,3
A147_1,8.2734375,0.7290259,1.0,2
A147_2,8.393467,0.2777929,1.0,23
A147_3,9.049103,2.1883829,1.0,4
A147_4,6.786423,2.6800547,1.0,29
A147_5,8.993009,1.8650054,1.0,4
A148_0,9.220831,1.5905681,1.0,4
A148_1,7.3137174,2.1433637,1.0,2
A149_0,6.9324656,1.688815,1.0,2
A149_1,7.049782,1.6453477,1.0,2
A152_0,4.349628,1.8479829,1.0,18
A152_1,4.3758163,1.7781087,1.0,18
A155_0,8.213755,1.0263361,1.0,2
A155_1,8.642739,1.5610294,1.0,2
A155_2,9.105669,1.7748232,1.0,4
A160_0,8.503251,1.1935222,1.0,2
A160_1,8.135967,0.37564453,1.0,2
A160_2,8.074297,0.4739328,1.0,2
A165_0,7.121718,0.9385208,1.0,2
A165_1,7.1310706,0.95360833,1.0,2
A166_0,10.007703,1.7218198,1.0,6
A166_1,9.244285,1.6361362,1.0,4
A167_0,9.553657,1.0016673,1.0,23
A167_1,8.317469,0.97820747,1.0,2
A167_2,7.488493,4.099482,1.0,8
A167_3,8.947896,4.0971723,1.0,1
A168_0,7.9862294,1.6628197,1.0,2
A168_1,8.281196,2.2719576,1.0,4
A169_0,6.9427447,3.2701786,1.0,29
A169_1,7.619749,2.0712883,1.0,2
A170_0,7.451918,2.2993793,1.0,2
A170_1,8.359941,1.0881463,1.0,2
A170_2,7.5227656,4.071998,1.0,8
A170_3,8.477529,0.9645587,1.0,2
